timepoint_id,sample_id,beta_param,gamma_param,Infected_sol,Recovered_sol,Susceptible_sol
0,32,0.027112603187561035,0.10122659057378769,1.0,1.0122659654943078e-11,1000.0
1,32,0.0,0.10122659057378769,0.9086369276046753,0.09674001485109329,999.9946899414062
2,32,0.0,0.10122659057378769,0.8211609721183777,0.18421609699726105,999.9946899414062
3,32,0.0,0.10122659057378769,0.7421061992645264,0.263270765542984,999.9946899414062
4,32,0.0,0.10122659057378769,0.6706623435020447,0.3347146213054657,999.9946899414062
0,33,0.026094481348991394,0.1410091519355774,1.0,1.4100916614911974e-11,1000.0
1,33,0.0,0.1410091519355774,0.873020350933075,0.13213303685188293,999.9942626953125
2,33,0.0,0.1410091519355774,0.758202075958252,0.24695146083831787,999.9942626953125
3,33,0.0,0.1410091519355774,0.6584843993186951,0.34666919708251953,999.9942626953125
4,33,0.0,0.1410091519355774,0.5718813538551331,0.4332721531391144,999.9942626953125
0,34,0.026424111798405647,0.13362999260425568,1.0,1.3362999075339221e-11,1000.0
1,34,0.0,0.13362999260425568,0.8795447945594788,0.12567821145057678,999.994384765625
2,34,0.0,0.13362999260425568,0.7695260047912598,0.23569713532924652,999.993896484375
3,34,0.0,0.13362999260425568,0.6732681393623352,0.33195406198501587,999.9948120117188
4,34,0.0,0.13362999260425568,0.5890516042709351,0.41617071628570557,999.9948120117188
0,35,0.027591528370976448,0.1385461390018463,1.0,1.385461450426062e-11,1000.0
1,35,0.0,0.1385461390018463,0.8754358291625977,0.13001617789268494,999.994873046875
2,35,0.0,0.1385461390018463,0.7621747255325317,0.24327749013900757,999.994873046875
3,35,0.0,0.1385461390018463,0.6635674834251404,0.3418850302696228,999.994873046875
4,35,0.0,0.1385461390018463,0.5777159333229065,0.4277350902557373,999.994873046875
0,36,0.026982830837368965,0.11189153790473938,1.0,1.1189153770185811e-11,1000.0
1,36,0.0,0.11189153790473938,0.8989754319190979,0.1063709408044815,999.9946899414062
2,36,0.0,0.11189153790473938,0.803810715675354,0.20153535902500153,999.9946899414062
3,36,0.0,0.11189153790473938,0.7187206149101257,0.28662580251693726,999.9946899414062
4,36,0.0,0.11189153790473938,0.6426382064819336,0.36270904541015625,999.9946899414062
