timepoint_id,sample_id,beta_param,gamma_param,I_sol,R_sol,S_sol
0,18,0.027052592486143112,0.11949266493320465,1.0,1.1949266229271949e-11,1000.0
1,18,0.0001,0.11949266493320465,3.627617597579956,0.40914037823677063,996.9632568359375
2,18,0.0001,0.11949266493320465,3.5558040142059326,0.8426140546798706,996.6015625
3,18,0.0001,0.11949266493320465,3.485283613204956,1.2675065994262695,996.2471923828125
4,18,0.0001,0.11949266493320465,3.4160380363464355,1.6839723587036133,995.8999633789062
0,19,0.027169184759259224,0.10265221446752548,1.0,1.0265221832284066e-11,1000.0
1,19,0.0001,0.10265221446752548,3.696899175643921,0.3527117669582367,996.9503784179688
2,19,0.0001,0.10265221446752548,3.685966968536377,0.7322066426277161,996.5818481445312
3,19,0.0001,0.10265221446752548,3.674931049346924,1.1105793714523315,996.2144775390625
4,19,0.0001,0.10265221446752548,3.6637930870056152,1.4878190755844116,995.848388671875
0,20,0.026277434080839157,0.11937880516052246,1.0,1.1937880371737375e-11,1000.0
1,20,0.0001,0.11937880516052246,3.551887273788452,0.4004233479499817,997.0476684570312
2,20,0.0001,0.11937880516052246,3.4820072650909424,0.8244433999061584,996.6935424804688
3,20,0.0001,0.11937880516052246,3.413378953933716,1.2401212453842163,996.3464965820312
4,20,0.0001,0.11937880516052246,3.345984697341919,1.647606372833252,996.0064086914062
0,21,0.027630938217043877,0.1634528636932373,1.0,1.6345286235619483e-11,1000.0
1,21,0.0001,0.1634528636932373,3.5318491458892822,0.5675203800201416,996.9005737304688
2,21,0.0001,0.1634528636932373,3.3066484928131104,1.1448112726211548,996.5485229492188
3,21,0.0001,0.1634528636932373,3.095690965652466,1.6852924823760986,996.218994140625
4,21,0.0001,0.1634528636932373,2.898090124130249,2.1912920475006104,995.9105834960938
0,22,0.026556504890322685,0.13855670392513275,1.0,1.385567095085749e-11,1000.0
1,22,0.0001,0.13855670392513275,3.5145504474639893,0.46799126267433167,997.0174560546875
2,22,0.0001,0.13855670392513275,3.377992630004883,0.9549557566642761,996.6670532226562
3,22,0.0001,0.13855670392513275,3.2466225624084473,1.4229992628097534,996.3303833007812
4,22,0.0001,0.13855670392513275,3.1202521324157715,1.8728406429290771,996.0068969726562
0,23,0.027639562264084816,0.17976532876491547,1.0,1.7976533456254273e-11,1000.0
1,23,0.0001,0.17976532876491547,3.476128578186035,0.6240341067314148,996.8998413085938
2,23,0.0001,0.17976532876491547,3.1977763175964355,1.248921513557434,996.5532836914062
3,23,0.0001,0.17976532876491547,2.9416024684906006,1.8237707614898682,996.234619140625
4,23,0.0001,0.17976532876491547,2.705857038497925,2.3525688648223877,995.9415283203125
0,24,0.027396883815526962,0.14540371298789978,1.0,1.4540371510995964e-11,1000.0
1,24,0.0001,0.14540371298789978,3.572007417678833,0.5020256638526917,996.9259643554688
2,24,0.0001,0.14540371298789978,3.408726930618286,1.0214087963104248,996.5698852539062
3,24,0.0001,0.14540371298789978,3.252788782119751,1.5170503854751587,996.2301635742188
4,24,0.0001,0.14540371298789978,3.1038739681243896,1.9900180101394653,995.9061279296875
0,25,0.027670487761497498,0.11644791066646576,1.0,1.1644791034215451e-11,1000.0
1,25,0.0001,0.11644791066646576,3.6988773345947266,0.4052228629589081,996.8959350585938
2,25,0.0001,0.11644791066646576,3.636890411376953,0.8359493613243103,996.5271606445312
3,25,0.0001,0.11644791066646576,3.575808048248291,1.2594577074050903,996.1647338867188
4,25,0.0001,0.11644791066646576,3.515622138977051,1.6758530139923096,995.8085327148438
0,26,0.02718634530901909,0.10898777842521667,1.0,1.0898778407542054e-11,1000.0
1,26,0.0001,0.10898777842521667,3.6768367290496826,0.3745868504047394,996.9486083984375
2,26,0.0001,0.10898777842521667,3.6426682472229004,0.7753171324729919,996.58203125
3,26,0.0001,0.10898777842521667,3.6086835861206055,1.17232346534729,996.218994140625
4,26,0.0001,0.10898777842521667,3.574885129928589,1.565625786781311,995.8594970703125
0,27,0.026306914165616035,0.11933666467666626,1.0,1.1933666728414227e-11,1000.0
1,27,0.0001,0.11933666467666626,3.5549237728118896,0.40059906244277954,997.0444946289062
2,27,0.0001,0.11933666467666626,3.4851326942443848,0.8248318433761597,996.6900634765625
3,27,0.0001,0.11933666467666626,3.416588306427002,1.2407358884811401,996.3427124023438
4,27,0.0001,0.11933666467666626,3.349273443222046,1.6484601497650146,996.0022583007812
0,28,0.02745247446000576,0.15608641505241394,1.0,1.560864111571636e-11,1000.0
1,28,0.0001,0.15608641505241394,3.5404534339904785,0.5395399928092957,996.9200439453125
2,28,0.0001,0.15608641505241394,3.340791702270508,1.0921566486358643,996.5670776367188
3,28,0.0001,0.15608641505241394,3.1522717475891113,1.6136088371276855,996.234130859375
4,28,0.0001,0.15608641505241394,2.974285125732422,2.105635643005371,995.9201049804688
0,29,0.026407647877931595,0.15208429098129272,1.0,1.5208430001467654e-11,1000.0
1,29,0.0001,0.15208429098129272,3.4547436237335205,0.5114595890045166,997.0338134765625
